id,judul_berita,deskripsi_kejadian,lokasi_kejadian,waktu_kejadian,kategori_kejahatan,label_urgensi,sumber,url,scraped_at
1,5 Fakta Alvi Pemutilasi Tiara Tak Terima Divonis Penjara Seumur Hidup,"Perjalanan kasus mutilasi sadis terhadap Tiara Angelina Saraswati memasuki babak baru. Alvi Maulana, terdakwa pembunuhan disertai mutilasi terhadap kekasihnya itu divonis penjara seumur hidup oleh majelis hakim Pengadilan Negeri Mojokerto karena terbukti melakukan pembunuhan berencana. Vonis tersebut sesuai tuntutan jaksa, namun langsung direspons upaya banding oleh penasihat hukum terdakwa. Majelis hakim PN Mojokerto menyatakan Alvi terbukti bersalah melanggar Pasal 459 UU Nomor 1 Tahun 2023 tentang KUHP terkait pembunuhan berencana, sehingga menjatuhkan pidana penjara seumur hidup sebagaimana tuntutan jaksa. Vonis ini sekaligus membuat Alvi lolos dari ancaman hukuman mati, tetapi tetap menerima hukuman maksimal selain pidana mati. Putusan dibacakan dalam sidang terbuka di Ruang Cakra PN Mojokerto oleh Ketua Majelis Hakim Jenny Tulak bersama dua hakim anggota, setelah seluruh fakta persidangan dinilai memenuhi unsur pembunuhan berencana. ""Menjatuhkan pidana kepada terdakwa oleh karena itu dengan pidana penjara selama seumur hidup,"" tegas hakim Jenny saat membacakan amar putusannya.",Mojokerto,"Selasa, 28 Apr 2026 10:45",Pembunuhan,Tinggi,detik.com,https://www.detik.com/jatim/hukum-dan-kriminal/d-8464678/5-fakta-alvi-pemutilasi-tiara-tak-terima-divonis-penjara-seumur-hidup,2026-04-28 13:11:42
2,Cemburu Buta Berujung Petaka di Baleendah,"Kasus pembunuhan akibat masalah asmara kembali menambah daftar panjang tindak pidana di Jawa Barat (Jabar). Kali ini, seorang pria berinisial HI ditemukan terkapar di Kampung Lembur Tengah, Kelurahan Jelekong, Kecamatan Baleendah, Kabupaten Bandung. Berdasarkan penelusuran, cinta segitiga menjadi pemicu utama. Korban dibunuh oleh CS alias Gareng, mantan suami dari seorang perempuan berinisial LS, yang baru dipersunting korban dua bulan lalu. Tragedi berdarah ini terjadi pada Sabtu (25/4/2026) sekitar pukul 15.30 WIB. Peristiwa bermula saat pelaku, Gareng, mendatangi rumah kerabat istri korban untuk mencari mantan istrinya tersebut. Namun, LS yang sudah menikah lagi sedang bersama suaminya, HI. Pertemuan ini memicu dendam pelaku hingga berujung pada aksi pembunuhan. ""Saat hendak pulang sekitar pukul 15.30 WIB, pelaku tiba-tiba datang dan memanggil korban. Ketika korban menghampiri, terjadi cekcok antara keduanya,"" ujar Kapolsek Baleendah AKP Hendri Noki, Senin (27/4/2026).",Jelekong,"Selasa, 28 Apr 2026 09:30",Pembunuhan,Tinggi,detik.com,https://www.detik.com/jabar/hukum-dan-kriminal/d-8464026/cemburu-buta-berujung-petaka-di-baleendah,2026-04-28 13:11:48
3,Tak Puas Alvi Pemutilasi Tiara Meski Lolos Vonis Hukuman Mati,"Alvi Maulana (24), terdakwa pembunuhan disertai mutilasi pacarnya, Tiara Angelina Saraswati (25) divonis penjara seumur hidup. Majelis hakim Pengadilan Negeri (PN) Mojokerto menyatakan Alvi terbukti melakukan pembunuhan berencana. Sidang vonis terhadap Alvi digelar terbuka di Ruangan Cakra, PN Mojokerto Senin (27/4) sekitar pukul 13.00 WIB. Terdakwa didampingi tim penasihat hukumnya dari LBH Rahmatan Lil Alamin Jombang. Tim jaksa penuntut umum (JPU) juga mengikuti jalannya sidang. Pembacaan putusan untuk Alvi dipimpin Ketua Majelis Hakim Jenny Tulak, serta hakim anggota Tri Sugondo dan Made C Buana. Dalam vonisnya, hakim menyatakan Alvi terbukti bersalah melakukan tindak pidana Pasal 459 UU Nomor 1 Tahun 2023 tentang KUHP tentang pembunuhan berencana. ""Menjatuhkan pidana kepada terdakwa oleh karena itu dengan pidana penjara selama seumur hidup,"" tegas hakim Jenny saat membacakan amar putusannya.",Mojokerto,"Selasa, 28 Apr 2026 08:30",Pembunuhan,Tinggi,detik.com,https://www.detik.com/jatim/hukum-dan-kriminal/d-8464592/tak-puas-alvi-pemutilasi-tiara-meski-lolos-vonis-hukuman-mati,2026-04-28 13:11:52
4,6 Fakta Pria Tewas di Baleendah gegara Drama Cinta Segitiga Berdarah,"Nasib memilukan diami seorang pria berinisial HI pada Sabtu (25/4) yang lalu. Dia tewas dan ditemukan dengan kondisi yang mengenaskan di Kecamatan Baleendah, Kabupaten Bandung. Lantas bagaimana kronologinya? Berikut rangkuman faktanya: Berdasarkan hasil pemeriksaan polisi, kejadian berdarah ini ternyata dipicu masalah cinta segitiga. Pelakunya adalah CS alias Gareng, yang merupakan mantan suami dari seorang perempuan berinisial LS yang telah menikah dengan korban HI dua bulan sebelum kejadian. Peristiwa tragis itu sendiri terjadi di Kampung Lembur Tengah, Kelurahan Jelekong, Kecamatan Baleendah sekitar pukul 15.30 WIB. Polisi bergerak cepat dan berhasil mengamankan pelaku pada hari yang sama. ""Iya kejadiannya Sabtu 25 April 2026 sekitar pukul 15.30 WIB. Pelaku inisial CS alias Gareng sudah kami amankan,"" ujar Kapolsek Baleendah AKP Hendri Noki, Senin (27/4/2026). Kejadian bermula ketika pelaku mendatangi rumah kerabat LS di Kampung Bera, Kelurahan Jelekong, untuk mencari mantan istrinya. Saat itu, LS diketahui sedang bersama korban HI mengunjungi keluarganya di lokasi tersebut.",Baleendah,"Selasa, 28 Apr 2026 08:00",Pembunuhan,Tinggi,detik.com,https://www.detik.com/jabar/hukum-dan-kriminal/d-8463950/6-fakta-pria-tewas-di-baleendah-gegara-drama-cinta-segitiga-berdarah,2026-04-28 13:11:56
5,4 Penganiaya Calon LC di Batam Didakwa Pembunuhan Berencana,"Pengadilan Negeri Batam menggelar sidang perdana kasus pembunuhan terhadap Dwi Putri Apriliandini. Dalam perkara ini, empat terdakwa didakwa melakukan pembunuhan berencana terhadap korban yang merupakan calon Ladies Companion (LC). Sidang dengan agenda pembacaan dakwaan dipimpin Ketua Majelis Hakim Muhammad Eri Justiansyah, didampingi hakim anggota Tri Lestari dan Meniek Emelinna Latuputty. Jaksa Penuntut Umum (JPU) Gustirio menguraikan secara rinci rangkaian peristiwa yang menjerat terdakwa Wilson Lukman alias Koko bersama, Anik Istiqomah Noviana alias Meylika Levana alias Mami, Salmiati alias Papi Charles dan Putri Eangelina alias Papi Tama yang diadili secara terpisah. Dalam dakwaannya, JPU menyebut peristiwa itu terjadi selama beberapa hari, sejak 23 hingga 27 November 2025, di sebuah rumah mess di kawasan Jodoh Permai, Kecamatan Batu Ampar, Batam. Menurut JPU, kasus ini bermula saat korban datang untuk melamar pekerjaan sebagai LC di agensi bernama MK Management yang dikelola oleh salah satu terdakwa. Korban sempat menjalani wawancara dan kembali ke mess pada malam harinya. Di lokasi tersebut, korban mengikuti kegiatan ritual bersama penghuni mess. Dalam kegiatan itu, para peserta diminta mengonsumsi minuman keras. Situasi kemudian berubah ketika korban mengalami kondisi yang disebut histeris, yang oleh para terdakwa dianggap sebagai gangguan atau kepura-puraan. ""Setelah kejadian itu, korban tidak diperkenankan meninggalkan lokasi dan justru diminta membuat pernyataan tertulis,"" ujar JPU dalam dakwaannya.",,"Senin, 27 Apr 2026 22:53",Pembunuhan,Tinggi,detik.com,https://www.detik.com/sumut/hukum-dan-kriminal/d-8464308/4-penganiaya-calon-lc-di-batam-didakwa-pembunuhan-berencana,2026-04-28 13:12:06
6,Jabar Hari Ini: Cinta Segitiga Berdarah di Baleendah Bandung,"Berbagai peristiwa menarik terjadi di Jawa Barat hari ini Senin (27/4/2026) beberapa diantaranya memantik perhatian pembacadetikJabar. Soal guru di Indramayu yang diduga lecehkan puluhan siswa, cinta segitiga berdarah di Baleendah hingga ribuan guru honorer terjerat pinjol gegara tak digaji. Berikut ringkasan berita yang dihimpun dalam Jabar hari ini, Dugaan kasus kekerasan seksual yang terjadi di salah satu SMP di Kecamatan Anjatan, Kabupaten Indramayu, menghebohkan publik setelah mencuat di media sosial. Berdasarkan keterangan berbagai sumber, puluhan pelajar diduga menjadi korban. Jumlah pastinya masih dalam pendataan dan kemungkinan akan terus bertambah. Peristiwa tersebut diduga melibatkan oknum guru yang juga pembina kegiatan ekstrakurikuler bela diri. Dugaan aksi pelecehan itu disebut terjadi dalam beberapa kesempatan di lokasi yang berbeda-beda selama kurun waktu sekitar satu tahun. Hingga kini, kasus tersebut masih dalam proses penyelidikan intensif. Kasat Reskrim Polres Indramayu Muchamad Arwin Bachar menyampaikan laporan terkait kasus ini telah diterima dan ditindaklanjuti. Polisi telah mengamankan seorang terduga pelaku berinisial F, sementara terduga pelaku lainnya berinisial Y masih dalam pengejaran ""Saat ini proses penyelidikan terus berjalan, termasuk pemanggilan para saksi untuk pendalaman kasus,"" ujarnya kepada detikJabar, Senin (27/4/2026). Sementara itu, Kepala Dinas Pendidikan dan Kebudayaan (Disdikbud) Kabupaten Indramayu Caridin menyatakan keprihatinannya atas kejadian tersebut. Ia memastikan pihaknya telah turun langsung ke sekolah bersama pengawas untuk melakukan penanganan awal.",Anjatan,"Senin, 27 Apr 2026 22:00",Pembunuhan,Tinggi,detik.com,https://www.detik.com/jabar/berita/d-8463883/jabar-hari-ini-cinta-segitiga-berdarah-di-baleendah-bandung,2026-04-28 13:12:11
7,"Viral Bunuh Diri di Jembatan Cangar, MUI Jatim: Haram Mutlak-Dosa Besar!","Majelis Ulama Indonesia (MUI) Jawa Timur menyoroti maraknya kasus bunuh diri yang terjadi belakangan ini di sejumlah daerah seperti di Jembatan Cangar, Kota Batu, serta peristiwa serupa yang terjadi di area masjid di Kediri. Sekretaris MUI Jawa Timur, M Hasan Ubaidillah menegaskan bahwa bunuh diri merupakan perbuatan yang diharamkan secara mutlak dalam Islam. Menurutnya, setiap manusia memiliki kewajiban menjaga jiwa yang telah diberikan Allah SWT. ""Dalam Islam bunuh diri itu diharamkan secara mutlak. Kita harus menjaga jiwa kita, bukan malah menghilangkannya,"" ujar Hasan kepadadetikJatim, Senin (27/4/2026). Ia menjelaskan, bunuh diri tidak hanya dimaknai sebagai tindakan langsung seperti gantung diri, melompat dari ketinggian, atau melukai diri dengan senjata tajam hingga menyebabkan kematian. Menurutnya, tindakan yang merusak tubuh secara perlahan seperti mengonsumsi narkoba dan minuman keras juga termasuk perbuatan yang membahayakan jiwa dan termasuk ke dalam bunuh diri secara perlahan. ""Janganlah kalian menjatuhkan diri kalian ke jurang kehancuran yang membahayakan jiwa. Perbuatan yang merusak diri sendiri, baik langsung maupun perlahan, tetap dilarang,"" katanya.",Batu,"Senin, 27 Apr 2026 21:40",Pembunuhan,Tinggi,detik.com,https://www.detik.com/jatim/berita/d-8464193/viral-bunuh-diri-di-jembatan-cangar-mui-jatim-haram-mutlak-dosa-besar,2026-04-28 13:12:22
8,Perampok Anak 12 Tahun di OKI hingga Korban Tewas Ditangkap!,"Perampok anak 12 tahun di Kabupaten OKI, Sumatera Selatan, berhasil ditangkap polisi. Saat ini petugas masih melakukan pemeriksaan terhadap pelaku. Pelaku berisial M (23), warga Kecamatan Pangkalan Lampam, OKI, ditangkap saat berada di Kayuagung, Senin (27/4/2026) sekitar pukul 10.00 WIB. Kapolres OKI AKBP Eko Rubiyanto mengatakan, dari hasil pemeriksaan pelaku nekat menghabisi korban karena dilatarbelakangi rasa sakit hati kepada korban. ""Motifnya pelaku kesal. Pengakuan pelaku, korban sering mengejeknya,"" ujarnya. Tak hanya membunuh, pelaku juga merampas barang milik korban. Polisi menyebut,sepeda motor dan ponsel korban dibawa kabur usai kejadian.",Pangkalan Lampam,"Senin, 27 Apr 2026 20:45",Pembunuhan,Tinggi,detik.com,https://www.detik.com/sumbagsel/hukum-dan-kriminal/d-8464162/perampok-anak-12-tahun-di-oki-hingga-korban-tewas-ditangkap,2026-04-28 13:12:28
9,Slogan Horor Geng Kriminal El Salvador,"El Salvador menggelar sidang massal terhadap ratusan orang pemimpingengdi negara itu. Geng yang bernama MS-13 itu punya slogan horor. DilansirBBC, Senin (27/4/2026), persidangan massal dilakukan terhadap 486 orang yang diduga pemimpin geng MS-13. Kelompok ini secara kolektif dituduh melakukan lebih dari 47.000 tindak kejahatan antara 2012 hingga 2022, termasuk pembunuhan, pemerasan, serta perdagangan narkoba dan senjata. Di antara terdakwa, terdapat orang-orang yang diduga terlibat dalam gelombang kekerasan geng pada Maret 2022. Peristiwa itu menyebabkan 87 orang tewas hanya dalam satu akhir pekan. Peristiwa itu mendorong Presiden El Salvador Nayib Bukele mendeklarasikan 'perang melawan geng kriminal'. Kejaksaan Agung El Salvador tidak memberikan rincian tentang berapa lama persidangan akan berlangsung. Tapi, mereka menyatakan memiliki bukti 'meyakinkan' sehingga memungkinkan penerapan hukuman maksimal bagi mereka yang terbukti bersalah. Lalu, siapa sebenarnya geng kriminal MS-13? MS-13 merupakan geng lintas negara yang tahun lalu ditetapkan sebagai organisasi teroris oleh Amerika Serikat (AS). Kelompok ini didirikan di Los Angeles, AS, pada era 1980-an oleh para imigran yang melarikan diri dari perang saudara El Salvador.",,"Senin, 27 Apr 2026 20:21",Pembunuhan,Tinggi,detik.com,https://news.detik.com/internasional/d-8464142/slogan-horor-geng-kriminal-el-salvador,2026-04-28 13:12:32
10,Tragedi Mengerikan di Gang Sempit Baleendah,"Sore itu, Sabtu, 25 April 2026, ketenangan warga di Kampung Lembur Tengah, Kelurahan Jelekong, Kecamatan Baleendah, Kabupaten Bandung, mendadak pecah. Sebuah drama asmara yang telah lama memendam bara berakhir dengan tumpahnya darah. HI, seorang pria yang baru mengecap manisnya pernikahan selama dua bulan, harus tewas di tangan masa lalu istrinya. Tragedi ini bermula dari api cemburu yang menyala di hati CS alias Gareng. Ia adalah mantan suami dari LS, perempuan yang kini telah resmi menjadi istri siri dari korban HI. Diduga tak rela melihat sang mantan membangun hidup baru, Gareng memilih jalan gelap untuk menuntaskan dendamnya. Hari itu, sekitar pukul 15.30 WIB, HI dan LS tengah berkunjung ke rumah kerabat mereka di Kampung Bera. Tak ada firasat buruk yang membayangi, hingga tiba-tiba sosok Gareng muncul di hadapan mereka. Pertemuan yang tak diinginkan itu seketika berubah menjadi adu mulut yang panas. ""Iya kejadiannya Sabtu 25 April 2026 sekitar pukul 15.30 WIB. Pelaku inisial CS alias Gareng sudah kami amankan,"" ujar Kapolsek Baleendah AKP Hendri Noki, Senin (27/4/2026). Ketegangan memuncak saat HI hendak melangkah pulang. Gareng memanggil korban, memaksanya untuk berhadapan satu lawan satu. Cekcok mulut tak terhindarkan di tengah gang sempit itu. LS yang berada tak jauh dari lokasi hanya bisa terpaku sebelum akhirnya jeritan kesakitan sang suami memecah udara.",Jelekong,"Senin, 27 Apr 2026 19:45",Pembunuhan,Tinggi,detik.com,https://www.detik.com/jabar/hukum-dan-kriminal/d-8463722/tragedi-mengerikan-di-gang-sempit-baleendah,2026-04-28 13:12:39
